,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variable,,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,,,,
E01000006,529,35.57%,38.32%,15.98%,5.33%,4.81%,35.85%,49.90%,10.74%,1.81%,1.70%,24.12%,57.88%,12.21%,3.60%,2.18%,31.72%,54.47%,10.44%,2.12%,1.25%,59.28%,35.05%,4.47%,0.86%,0.34%,56.97%,36.49%,5.34%,0.86%,0.34%,59.27%,37.26%,2.43%,0.69%,0.35%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000007,977,37.55%,16.68%,25.45%,12.65%,7.68%,38.04%,35.64%,14.82%,8.85%,2.66%,36.56%,33.60%,13.84%,12.33%,3.67%,35.04%,37.18%,16.53%,9.87%,1.38%,63.77%,21.88%,6.83%,3.80%,3.72%,62.23%,21.26%,8.80%,3.89%,3.82%,62.20%,23.83%,6.22%,3.88%,3.88%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000008,541,75.84%,20.09%,3.06%,0.44%,0.58%,76.58%,19.78%,3.03%,0.38%,0.23%,74.96%,21.02%,3.14%,0.64%,0.25%,59.93%,34.69%,4.37%,0.77%,0.24%,79.18%,17.47%,2.77%,0.29%,0.29%,63.87%,31.24%,3.96%,0.47%,0.47%,65.04%,32.76%,1.47%,0.24%,0.49%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000009,654,38.35%,35.64%,14.91%,6.91%,4.20%,38.46%,45.86%,11.00%,3.37%,1.31%,33.41%,48.43%,10.30%,6.10%,1.76%,36.08%,48.51%,11.05%,3.94%,0.41%,57.32%,34.82%,4.74%,1.76%,1.36%,55.37%,36.33%,5.44%,1.50%,1.36%,56.20%,38.02%,2.89%,1.52%,1.38%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000010,1331,40.14%,9.16%,20.02%,7.67%,23.01%,40.31%,27.19%,12.72%,9.41%,10.37%,39.00%,27.50%,8.71%,7.32%,17.47%,26.94%,33.51%,18.96%,8.54%,12.05%,58.42%,37.90%,1.99%,0.90%,0.80%,54.49%,26.23%,3.29%,7.60%,8.38%,56.15%,39.92%,2.00%,0.97%,0.97%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000011,471,44.56%,40.72%,6.61%,4.26%,3.84%,45.29%,41.89%,8.05%,3.05%,1.73%,35.63%,49.32%,8.50%,4.25%,2.29%,43.56%,44.32%,7.84%,3.42%,0.86%,51.60%,40.72%,5.33%,1.28%,1.07%,48.40%,43.28%,6.18%,1.07%,1.07%,51.50%,43.35%,3.00%,1.07%,1.07%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000012,846,27.52%,25.20%,29.31%,11.26%,6.70%,27.80%,49.98%,13.74%,5.89%,2.59%,25.23%,48.94%,13.89%,8.65%,3.29%,25.23%,51.76%,14.94%,6.64%,1.42%,64.97%,24.84%,5.45%,2.68%,2.06%,63.71%,25.18%,6.18%,2.78%,2.15%,63.66%,27.41%,4.14%,2.67%,2.12%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000013,654,56.66%,35.68%,3.68%,1.68%,2.30%,57.28%,34.78%,5.90%,1.23%,0.82%,45.44%,44.21%,7.58%,1.80%,0.97%,53.99%,38.71%,5.36%,1.34%,0.61%,60.18%,34.30%,4.75%,0.46%,0.31%,57.73%,36.60%,5.05%,0.31%,0.31%,61.29%,36.56%,1.54%,0.31%,0.31%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000014,652,58.35%,32.33%,4.96%,2.41%,1.95%,58.74%,32.83%,5.70%,1.90%,0.82%,46.49%,42.79%,7.13%,2.44%,1.15%,54.03%,38.43%,5.17%,1.99%,0.39%,63.01%,31.13%,4.21%,1.05%,0.60%,60.69%,33.28%,4.67%,0.75%,0.60%,63.05%,33.94%,1.66%,0.75%,0.60%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000015,855,63.35%,32.90%,2.34%,0.35%,1.05%,64.17%,31.48%,3.75%,0.60%,0.00%,54.80%,38.36%,5.83%,0.69%,0.32%,61.55%,34.75%,3.01%,0.69%,0.00%,66.28%,29.86%,3.51%,0.23%,0.12%,63.47%,32.90%,3.51%,0.00%,0.12%,66.82%,32.59%,0.47%,0.00%,0.12%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000016,643,53.24%,32.60%,7.96%,3.39%,2.80%,53.69%,36.00%,6.36%,2.24%,1.72%,39.90%,46.37%,8.51%,3.01%,2.22%,48.30%,42.08%,5.85%,3.03%,0.74%,60.03%,32.60%,5.46%,0.59%,1.33%,58.85%,33.78%,5.31%,0.59%,1.47%,59.97%,35.42%,2.83%,0.45%,1.34%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000017,628,55.75%,37.70%,4.15%,1.28%,1.12%,56.72%,37.65%,4.71%,0.92%,0.00%,45.24%,45.79%,7.12%,1.29%,0.55%,54.03%,40.79%,4.26%,0.92%,0.00%,60.38%,34.82%,3.83%,0.64%,0.32%,57.19%,38.02%,4.15%,0.32%,0.32%,60.96%,37.44%,0.96%,0.32%,0.32%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000018,630,56.92%,38.95%,2.54%,0.32%,1.27%,57.87%,37.26%,4.26%,0.60%,0.00%,42.79%,49.76%,6.23%,0.94%,0.28%,52.22%,43.97%,3.09%,0.72%,0.00%,59.30%,36.09%,4.29%,0.16%,0.16%,57.39%,38.47%,3.97%,0.00%,0.16%,61.37%,38.00%,0.48%,0.00%,0.16%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000019,508,52.07%,41.22%,4.34%,1.78%,0.59%,52.03%,40.70%,6.12%,0.79%,0.36%,41.47%,48.81%,8.33%,0.91%,0.47%,50.76%,43.61%,4.64%,0.79%,0.20%,57.40%,36.09%,5.52%,0.79%,0.20%,53.65%,41.22%,4.54%,0.39%,0.20%,58.58%,39.64%,1.18%,0.39%,0.20%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000020,641,49.54%,41.56%,6.29%,1.23%,1.38%,50.25%,43.11%,4.46%,1.27%,0.91%,39.97%,49.83%,7.65%,1.44%,1.11%,47.75%,46.21%,4.07%,1.51%,0.46%,57.82%,35.74%,5.21%,0.77%,0.46%,54.91%,38.80%,5.06%,0.77%,0.46%,59.32%,37.90%,1.69%,0.62%,0.46%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000021,595,42.03%,30.20%,14.11%,7.59%,6.07%,42.59%,39.31%,11.39%,3.94%,2.77%,37.06%,39.33%,14.03%,5.78%,3.80%,41.62%,40.34%,11.54%,4.66%,1.84%,54.48%,35.20%,7.74%,1.21%,1.37%,50.08%,40.33%,6.39%,1.22%,1.98%,54.46%,38.77%,4.31%,1.08%,1.38%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000022,492,43.86%,30.21%,15.01%,5.65%,5.26%,44.58%,39.16%,9.25%,4.25%,2.76%,36.83%,43.72%,10.06%,6.13%,3.26%,42.13%,41.77%,9.64%,4.87%,1.60%,57.12%,33.33%,6.04%,1.95%,1.56%,55.29%,34.71%,6.47%,1.76%,1.76%,58.48%,33.93%,4.19%,1.80%,1.60%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000023,1478,24.26%,14.32%,31.15%,17.30%,12.97%,24.40%,34.84%,21.22%,12.84%,6.70%,23.14%,32.16%,19.68%,16.33%,8.68%,17.73%,37.49%,25.75%,15.58%,3.45%,53.82%,24.74%,11.18%,5.65%,4.61%,51.96%,23.51%,13.29%,6.13%,5.11%,49.52%,27.96%,11.45%,6.05%,5.01%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000024,434,54.50%,40.18%,3.46%,1.62%,0.23%,55.46%,38.99%,4.26%,0.64%,0.64%,43.98%,47.60%,7.08%,0.69%,0.64%,52.64%,42.27%,3.99%,0.64%,0.46%,59.58%,34.18%,5.31%,0.46%,0.46%,54.97%,39.49%,4.85%,0.23%,0.46%,59.49%,37.96%,1.85%,0.23%,0.46%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000025,612,95.47%,2.38%,0.48%,0.66%,1.01%,95.33%,2.78%,0.66%,0.42%,0.81%,93.74%,4.11%,1.14%,0.23%,0.78%,70.53%,18.04%,3.99%,2.93%,4.52%,96.48%,3.12%,0.40%,0.00%,0.00%,82.72%,15.23%,2.06%,0.00%,0.00%,80.85%,17.29%,1.86%,0.00%,0.00%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000027,652,46.74%,32.86%,12.18%,4.67%,3.54%,46.91%,40.22%,7.67%,3.63%,1.57%,40.56%,42.53%,9.10%,5.49%,2.32%,45.63%,41.75%,7.75%,4.29%,0.58%,58.36%,33.14%,5.24%,1.84%,1.42%,55.62%,35.14%,6.12%,1.56%,1.56%,57.78%,36.02%,3.17%,1.59%,1.44%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000028,649,55.44%,28.08%,9.17%,4.58%,2.72%,56.99%,32.91%,6.32%,2.72%,1.05%,52.88%,34.61%,7.33%,3.60%,1.59%,55.79%,34.08%,6.56%,2.99%,0.59%,66.05%,27.94%,3.87%,1.15%,1.00%,63.06%,30.59%,4.04%,1.15%,1.15%,65.79%,29.96%,2.20%,1.03%,1.03%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000029,666,33.29%,40.21%,16.78%,5.73%,3.99%,32.43%,52.13%,9.63%,3.34%,2.48%,25.53%,53.23%,12.99%,5.37%,2.88%,30.93%,54.13%,9.72%,4.41%,0.81%,48.60%,39.28%,9.05%,1.60%,1.46%,46.87%,42.48%,7.59%,1.60%,1.46%,49.32%,44.43%,3.26%,1.49%,1.49%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000030,911,45.64%,24.05%,20.69%,4.90%,4.72%,46.71%,39.53%,8.35%,3.94%,1.46%,43.05%,41.76%,7.07%,6.00%,2.11%,41.60%,43.95%,8.98%,4.58%,0.89%,66.88%,25.50%,4.36%,2.00%,1.27%,61.88%,29.13%,5.57%,1.86%,1.56%,63.50%,30.27%,2.97%,1.88%,1.38%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000031,623,37.86%,42.60%,11.45%,4.12%,3.97%,38.23%,48.66%,8.63%,2.82%,1.66%,27.10%,54.00%,12.27%,4.54%,2.10%,36.23%,51.99%,7.70%,3.15%,0.92%,51.45%,39.69%,6.72%,1.22%,0.92%,48.55%,43.21%,6.26%,1.07%,0.92%,51.93%,44.07%,2.00%,1.08%,0.92%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000032,731,43.26%,39.15%,10.14%,4.11%,3.34%,43.70%,43.26%,7.39%,2.92%,2.74%,35.65%,46.70%,10.84%,3.62%,3.19%,41.36%,46.40%,7.12%,3.82%,1.31%,52.25%,37.23%,7.96%,1.16%,1.41%,49.55%,40.28%,7.46%,1.29%,1.42%,51.83%,42.56%,3.13%,1.04%,1.44%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000033,565,35.53%,32.92%,26.80%,2.91%,1.84%,35.86%,55.90%,6.17%,1.53%,0.55%,28.28%,60.62%,8.06%,2.18%,0.87%,33.46%,58.92%,5.67%,1.80%,0.15%,64.47%,28.94%,5.36%,0.77%,0.46%,61.04%,33.28%,4.60%,0.61%,0.46%,65.23%,32.00%,1.69%,0.62%,0.46%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000034,527,43.83%,44.38%,6.81%,2.39%,2.58%,44.62%,46.54%,6.14%,1.58%,1.12%,38.90%,49.94%,6.89%,2.75%,1.51%,43.15%,48.67%,5.63%,2.37%,0.19%,51.38%,42.36%,4.42%,0.92%,0.92%,48.71%,44.83%,4.80%,0.74%,0.92%,51.67%,45.35%,1.30%,0.74%,0.93%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000035,599,50.16%,37.54%,7.77%,3.07%,1.46%,50.85%,40.69%,5.56%,2.17%,0.73%,38.97%,47.56%,9.85%,2.31%,1.32%,46.91%,45.08%,5.72%,2.02%,0.27%,58.58%,35.28%,4.53%,1.13%,0.49%,55.34%,38.35%,4.85%,0.97%,0.49%,58.27%,38.63%,1.64%,0.98%,0.49%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000036,487,48.97%,44.24%,3.29%,1.65%,1.85%,49.17%,43.04%,5.81%,1.22%,0.77%,32.29%,53.72%,10.99%,1.98%,1.02%,44.61%,49.23%,4.62%,1.34%,0.21%,53.09%,39.92%,5.97%,0.62%,0.41%,49.59%,42.59%,7.00%,0.41%,0.41%,53.61%,44.12%,1.44%,0.41%,0.41%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000037,558,46.86%,50.09%,2.33%,0.00%,0.72%,47.28%,47.87%,4.31%,0.36%,0.18%,34.30%,55.97%,9.01%,0.36%,0.36%,44.68%,51.91%,2.87%,0.36%,0.18%,50.81%,42.73%,6.10%,0.36%,0.00%,46.68%,49.19%,3.95%,0.00%,0.18%,50.99%,48.29%,0.72%,0.00%,0.00%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000038,608,43.53%,47.57%,4.85%,2.10%,1.94%,44.06%,47.21%,7.12%,0.92%,0.69%,32.41%,54.69%,9.78%,2.02%,1.09%,40.15%,52.64%,5.74%,1.15%,0.33%,49.35%,43.20%,6.31%,0.65%,0.49%,45.95%,47.73%,5.50%,0.32%,0.49%,49.84%,48.03%,1.31%,0.33%,0.49%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000039,626,51.42%,36.32%,8.18%,2.20%,1.89%,51.91%,40.31%,5.15%,1.72%,0.91%,41.04%,46.31%,9.36%,1.89%,1.40%,49.88%,42.66%,5.00%,2.14%,0.32%,60.69%,33.33%,4.40%,0.94%,0.63%,57.57%,36.59%,4.42%,0.79%,0.63%,61.59%,35.56%,1.43%,0.79%,0.63%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000040,711,49.16%,29.68%,13.03%,5.81%,2.32%,49.72%,37.99%,7.92%,3.31%,1.07%,42.73%,41.84%,9.45%,4.54%,1.43%,46.98%,40.97%,8.09%,3.78%,0.17%,63.35%,28.52%,5.29%,1.42%,1.42%,59.72%,31.48%,6.09%,1.30%,1.42%,62.96%,31.54%,2.75%,1.31%,1.44%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000041,608,59.31%,38.22%,1.98%,0.00%,0.49%,59.56%,36.88%,3.23%,0.00%,0.33%,45.87%,47.62%,6.01%,0.00%,0.49%,55.87%,41.39%,2.41%,0.00%,0.33%,62.27%,33.61%,3.95%,0.16%,0.00%,58.98%,37.56%,3.46%,0.00%,0.00%,62.27%,37.40%,0.33%,0.00%,0.00%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000042,713,49.55%,24.71%,13.44%,6.79%,5.51%,50.80%,32.49%,8.97%,5.77%,1.96%,46.91%,34.57%,8.30%,6.91%,3.30%,48.65%,34.57%,9.10%,6.58%,1.10%,63.38%,26.50%,5.76%,2.43%,1.92%,60.90%,28.59%,6.15%,2.44%,1.92%,63.04%,28.18%,4.59%,2.23%,1.97%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000043,483,41.48%,44.29%,6.61%,4.61%,3.01%,42.52%,43.93%,9.07%,3.39%,1.10%,31.11%,52.23%,11.48%,2.90%,2.28%,38.36%,50.16%,7.14%,3.74%,0.61%,49.10%,39.88%,8.42%,1.80%,0.80%,45.78%,44.58%,7.23%,1.61%,0.80%,49.70%,45.84%,2.23%,1.42%,0.81%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000044,632,52.66%,36.99%,6.11%,2.04%,2.19%,53.39%,38.24%,5.41%,1.38%,1.58%,36.66%,51.99%,7.68%,1.90%,1.77%,49.68%,42.84%,4.75%,1.69%,1.04%,58.78%,34.95%,4.70%,0.94%,0.63%,56.04%,37.36%,5.34%,0.63%,0.63%,59.46%,37.22%,2.05%,0.63%,0.63%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000045,616,58.14%,27.91%,6.98%,3.88%,3.10%,59.04%,29.88%,7.19%,2.41%,1.48%,51.20%,35.83%,7.20%,3.94%,1.83%,58.41%,30.92%,6.94%,3.19%,0.53%,70.70%,22.17%,5.12%,0.62%,1.40%,63.26%,29.46%,5.27%,0.62%,1.40%,65.73%,29.11%,3.29%,0.47%,1.41%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000046,697,53.81%,39.28%,4.60%,0.72%,1.58%,54.42%,39.53%,4.67%,0.72%,0.65%,44.09%,46.57%,7.50%,0.86%,0.97%,51.86%,42.65%,4.14%,0.92%,0.43%,58.99%,35.97%,4.46%,0.29%,0.29%,56.83%,38.42%,4.03%,0.43%,0.29%,60.69%,37.86%,1.01%,0.14%,0.29%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000048,556,39.28%,27.57%,13.33%,15.86%,3.96%,40.27%,35.01%,18.72%,5.12%,0.88%,38.39%,35.73%,18.30%,6.05%,1.53%,38.24%,36.69%,19.11%,5.23%,0.74%,56.04%,33.51%,6.85%,2.16%,1.44%,49.09%,39.86%,7.61%,1.99%,1.45%,54.88%,37.02%,4.60%,2.03%,1.47%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000049,919,34.42%,28.85%,20.50%,11.60%,4.64%,35.34%,43.29%,15.16%,5.04%,1.18%,31.32%,45.13%,14.91%,6.72%,1.93%,32.62%,45.89%,15.37%,5.61%,0.52%,55.57%,35.06%,5.66%,1.95%,1.76%,51.77%,38.10%,6.41%,1.77%,1.95%,54.83%,37.97%,3.60%,1.80%,1.80%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000050,604,48.42%,33.07%,12.82%,3.48%,2.22%,48.42%,42.92%,5.90%,2.16%,0.60%,38.34%,48.90%,8.98%,2.63%,1.16%,43.86%,47.65%,5.95%,2.39%,0.16%,65.03%,30.06%,3.32%,0.95%,0.63%,60.70%,34.07%,3.80%,0.79%,0.63%,64.06%,32.91%,1.60%,0.80%,0.64%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000051,384,40.10%,21.88%,15.89%,15.63%,6.51%,41.73%,30.59%,20.57%,5.34%,1.77%,39.51%,31.69%,19.32%,6.25%,3.23%,39.68%,32.14%,21.21%,5.59%,1.38%,57.03%,32.55%,6.77%,2.08%,1.56%,52.22%,36.81%,7.05%,2.09%,1.83%,55.97%,35.28%,5.31%,1.86%,1.59%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000052,786,80.54%,10.57%,8.15%,0.37%,0.37%,80.33%,15.40%,3.66%,0.40%,0.22%,73.07%,22.03%,4.38%,0.34%,0.17%,51.89%,38.90%,7.89%,0.93%,0.39%,90.46%,8.30%,1.17%,0.07%,0.00%,77.01%,21.18%,1.81%,0.00%,0.00%,79.28%,20.39%,0.33%,0.00%,0.00%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000053,670,39.28%,24.55%,25.03%,6.11%,5.03%,39.57%,45.86%,9.85%,2.97%,1.76%,36.19%,44.00%,11.49%,6.17%,2.15%,37.71%,47.61%,10.29%,3.47%,0.92%,68.62%,24.07%,4.79%,1.08%,1.44%,65.15%,27.31%,4.91%,1.20%,1.44%,66.46%,28.03%,3.06%,0.98%,1.47%,Barking and Dagenham,Barking and Dagenham,London,EPN
