,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variable,,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,,,,
E01000006,79.4,33.78%,37.22%,16.77%,5.65%,6.58%,34.73%,48.10%,12.72%,2.77%,1.69%,29.55%,53.24%,10.32%,4.19%,2.70%,29.78%,53.53%,12.19%,2.79%,1.71%,56.07%,36.57%,5.69%,1.07%,0.61%,54.65%,36.94%,6.79%,1.01%,0.61%,56.02%,39.46%,3.08%,0.82%,0.61%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000007,75.2,33.57%,12.15%,31.73%,11.19%,11.35%,34.12%,39.82%,16.36%,8.28%,1.41%,33.40%,36.63%,13.40%,14.24%,2.33%,30.68%,41.12%,18.07%,8.65%,1.48%,67.17%,21.36%,5.33%,2.45%,3.68%,67.53%,19.40%,6.72%,2.56%,3.79%,65.59%,23.16%,4.90%,2.50%,3.84%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000008,62.2,83.26%,11.89%,3.55%,0.40%,0.90%,84.11%,12.64%,2.75%,0.34%,0.16%,83.28%,13.52%,2.23%,0.81%,0.16%,66.72%,27.29%,4.96%,0.69%,0.34%,87.11%,10.31%,2.14%,0.17%,0.27%,72.56%,22.88%,3.60%,0.45%,0.52%,74.01%,23.65%,1.65%,0.14%,0.55%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000009,83.7,38.28%,29.78%,18.30%,7.33%,6.31%,38.51%,44.09%,12.93%,3.87%,0.60%,36.63%,45.26%,8.42%,8.68%,1.02%,36.17%,46.52%,12.77%,3.93%,0.61%,59.80%,32.33%,4.35%,1.69%,1.83%,59.22%,32.50%,5.05%,1.40%,1.83%,58.98%,35.24%,2.51%,1.42%,1.85%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000010,194.3,51.26%,6.81%,20.54%,5.88%,15.50%,51.47%,26.29%,11.53%,4.95%,5.76%,51.09%,25.86%,7.24%,7.12%,8.68%,34.90%,35.13%,15.70%,6.59%,7.68%,63.04%,34.20%,1.46%,0.56%,0.74%,64.81%,22.53%,2.52%,4.49%,5.65%,66.12%,30.64%,1.62%,0.64%,0.98%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000011,120.1,47.69%,34.06%,7.50%,4.76%,5.99%,49.03%,36.22%,9.09%,4.29%,1.37%,46.18%,39.36%,6.11%,5.66%,2.69%,47.14%,38.58%,8.58%,4.32%,1.38%,54.70%,37.11%,5.29%,1.44%,1.47%,52.26%,38.97%,6.09%,1.20%,1.47%,54.88%,39.43%,3.00%,1.21%,1.48%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000012,121.8,23.98%,19.18%,34.77%,12.54%,9.53%,24.29%,51.53%,16.42%,5.79%,1.98%,23.67%,48.62%,14.96%,10.03%,2.71%,21.75%,52.83%,17.45%,5.95%,2.03%,66.13%,24.85%,4.71%,2.02%,2.29%,67.86%,22.39%,5.19%,2.13%,2.42%,65.06%,26.98%,3.62%,1.99%,2.35%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000013,86.3,56.12%,32.06%,5.16%,2.49%,4.18%,57.33%,31.40%,8.13%,2.25%,0.89%,52.36%,37.06%,6.46%,2.73%,1.39%,53.58%,35.79%,7.48%,2.26%,0.89%,59.72%,33.22%,5.91%,0.64%,0.51%,57.96%,34.86%,6.24%,0.43%,0.51%,61.29%,35.76%,2.01%,0.43%,0.52%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000014,65.9,57.19%,29.56%,6.85%,3.23%,3.17%,58.11%,30.58%,7.81%,2.95%,0.55%,51.82%,37.60%,5.97%,3.62%,0.99%,53.02%,36.77%,6.70%,2.96%,0.55%,62.49%,29.82%,5.24%,1.42%,1.04%,60.60%,31.68%,5.68%,1.00%,1.04%,62.78%,33.15%,2.02%,1.00%,1.04%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000015,109.4,64.46%,29.50%,3.72%,0.49%,1.83%,65.85%,27.88%,4.92%,1.35%,0.00%,61.29%,32.81%,4.29%,1.11%,0.50%,62.51%,32.11%,4.03%,1.35%,0.00%,67.53%,27.37%,4.57%,0.33%,0.20%,64.85%,30.31%,4.65%,0.00%,0.20%,68.10%,30.92%,0.78%,0.00%,0.20%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000016,76.5,50.79%,29.29%,11.30%,4.68%,3.93%,51.85%,35.05%,8.50%,4.02%,0.58%,45.57%,40.46%,7.29%,5.20%,1.48%,46.37%,41.33%,7.66%,4.05%,0.59%,59.01%,31.78%,6.31%,0.67%,2.22%,59.35%,31.64%,5.90%,0.65%,2.46%,59.11%,35.03%,3.15%,0.47%,2.24%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000017,75.4,54.69%,35.53%,5.97%,1.84%,1.97%,56.26%,35.61%,6.77%,1.37%,0.00%,52.13%,39.74%,5.49%,2.08%,0.57%,53.25%,39.42%,5.96%,1.37%,0.00%,60.15%,33.15%,5.20%,0.92%,0.58%,57.11%,36.38%,5.48%,0.45%,0.58%,60.72%,36.83%,1.43%,0.45%,0.58%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000018,76.2,55.85%,37.52%,4.14%,0.49%,2.00%,57.63%,35.31%,6.01%,1.05%,0.00%,49.40%,44.72%,4.13%,1.40%,0.35%,51.32%,43.08%,4.55%,1.05%,0.00%,58.45%,35.22%,5.80%,0.24%,0.29%,57.04%,37.19%,5.48%,0.00%,0.29%,60.32%,38.57%,0.82%,0.00%,0.29%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000019,91.9,51.01%,39.70%,6.08%,2.38%,0.83%,51.44%,38.94%,8.28%,1.10%,0.23%,48.16%,44.21%,5.96%,1.44%,0.23%,49.80%,42.70%,6.16%,1.10%,0.23%,56.56%,34.63%,7.36%,1.09%,0.37%,52.99%,40.02%,6.14%,0.48%,0.37%,57.93%,39.67%,1.55%,0.48%,0.37%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000020,94.9,46.28%,40.81%,8.83%,1.90%,2.18%,48.19%,42.72%,6.31%,2.00%,0.78%,43.12%,48.34%,5.01%,2.62%,0.91%,44.98%,46.71%,5.52%,2.01%,0.78%,56.96%,34.35%,6.84%,1.00%,0.85%,54.68%,36.84%,6.52%,1.11%,0.85%,58.51%,37.65%,2.21%,0.77%,0.86%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000021,104.7,41.95%,24.66%,16.55%,8.41%,8.43%,42.87%,36.41%,12.82%,5.00%,2.90%,41.12%,35.12%,11.67%,8.19%,3.91%,41.28%,37.58%,13.34%,4.85%,2.94%,56.28%,31.15%,9.41%,1.13%,2.02%,53.15%,35.15%,7.84%,1.17%,2.69%,56.07%,35.13%,5.79%,0.96%,2.05%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000022,77.7,37.97%,26.72%,19.53%,7.65%,8.13%,39.79%,38.82%,12.41%,6.34%,2.64%,35.75%,41.71%,10.08%,9.43%,3.04%,36.54%,42.09%,12.19%,6.49%,2.70%,54.00%,32.91%,7.80%,2.45%,2.84%,53.37%,33.16%,8.08%,2.17%,3.21%,54.96%,34.59%,5.33%,2.21%,2.91%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000023,193.6,21.24%,11.16%,33.39%,18.27%,15.94%,21.47%,36.73%,23.56%,14.32%,3.92%,21.11%,33.31%,19.59%,20.87%,5.12%,15.61%,38.59%,26.25%,15.35%,4.20%,53.00%,24.95%,10.34%,5.32%,6.40%,52.97%,22.11%,12.08%,5.89%,6.95%,49.13%,27.99%,10.44%,5.58%,6.86%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000024,70.7,53.84%,37.98%,5.32%,2.42%,0.44%,56.01%,35.99%,6.37%,0.76%,0.88%,50.76%,41.79%,5.47%,1.09%,0.88%,52.19%,40.39%,5.77%,0.76%,0.88%,59.00%,31.98%,7.47%,0.69%,0.87%,54.94%,37.14%,6.72%,0.33%,0.87%,59.27%,36.82%,2.71%,0.33%,0.88%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000025,64.3,95.56%,2.33%,0.39%,0.73%,0.99%,95.44%,2.67%,0.63%,0.49%,0.77%,94.98%,2.96%,1.06%,0.26%,0.73%,68.65%,18.91%,4.12%,3.83%,4.49%,96.60%,3.00%,0.40%,0.00%,0.00%,81.30%,16.44%,2.27%,0.00%,0.00%,79.82%,18.40%,1.78%,0.00%,0.00%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000027,81.5,41.54%,28.38%,18.09%,6.57%,5.41%,42.24%,40.65%,10.98%,5.26%,0.86%,40.75%,39.22%,9.31%,9.00%,1.72%,40.82%,42.32%,10.64%,5.35%,0.88%,57.56%,31.51%,6.19%,2.27%,2.48%,56.02%,32.14%,7.32%,1.87%,2.65%,57.11%,34.93%,3.55%,1.89%,2.52%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000028,69.4,55.13%,22.36%,13.07%,5.48%,3.96%,57.45%,30.98%,7.61%,3.07%,0.89%,55.81%,30.91%,6.96%,5.13%,1.20%,55.67%,32.46%,7.80%,3.16%,0.91%,69.61%,23.74%,4.18%,1.07%,1.40%,67.22%,25.93%,4.05%,1.17%,1.63%,69.48%,25.66%,2.47%,0.94%,1.44%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000029,66.6,26.96%,40.91%,19.04%,8.10%,4.99%,26.82%,53.44%,13.54%,5.42%,0.79%,24.58%,55.97%,9.75%,8.02%,1.68%,25.46%,55.48%,12.76%,5.50%,0.80%,42.56%,41.29%,11.58%,1.92%,2.65%,41.63%,43.86%,9.97%,1.89%,2.65%,43.18%,48.38%,4.00%,1.74%,2.69%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000030,104.8,43.53%,16.47%,28.66%,5.17%,6.17%,44.86%,40.36%,9.95%,3.90%,0.92%,43.60%,41.23%,6.23%,7.59%,1.35%,38.29%,45.71%,10.64%,4.34%,1.02%,72.42%,20.50%,3.81%,1.73%,1.54%,68.41%,23.10%,5.01%,1.58%,1.90%,68.87%,25.13%,2.69%,1.60%,1.71%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000031,78.5,33.77%,41.75%,13.48%,5.49%,5.51%,35.35%,47.41%,11.95%,3.72%,1.59%,32.17%,51.00%,8.68%,6.43%,1.72%,32.83%,51.62%,10.20%,3.75%,1.60%,47.57%,40.29%,8.89%,1.62%,1.62%,45.57%,43.03%,8.37%,1.40%,1.62%,47.86%,46.31%,2.78%,1.42%,1.64%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000032,119.9,40.12%,36.08%,13.18%,5.71%,4.91%,41.17%,41.79%,10.44%,4.68%,1.92%,38.92%,44.23%,7.83%,6.61%,2.41%,38.62%,45.17%,9.51%,4.75%,1.95%,50.17%,36.25%,9.87%,1.25%,2.46%,48.36%,38.23%,9.45%,1.49%,2.47%,49.95%,42.54%,3.93%,1.08%,2.50%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000033,66.7,30.03%,26.86%,36.97%,3.53%,2.61%,31.07%,59.21%,7.54%,1.94%,0.24%,27.38%,62.42%,6.43%,3.31%,0.46%,28.44%,62.45%,6.91%,1.95%,0.24%,68.33%,24.40%,5.85%,0.72%,0.70%,65.31%,28.45%,5.01%,0.53%,0.70%,69.01%,27.89%,1.86%,0.53%,0.71%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000034,61.1,42.16%,40.03%,10.12%,3.25%,4.45%,43.86%,43.67%,8.81%,3.31%,0.36%,41.02%,47.14%,5.44%,5.45%,0.95%,41.84%,46.50%,7.96%,3.35%,0.36%,51.72%,40.01%,5.60%,1.02%,1.65%,49.69%,41.67%,6.23%,0.75%,1.65%,52.02%,43.97%,1.58%,0.76%,1.67%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000035,71.3,47.39%,35.31%,10.84%,4.47%,1.99%,48.78%,40.73%,7.71%,2.59%,0.19%,44.32%,43.54%,8.09%,3.50%,0.56%,44.51%,45.56%,7.12%,2.62%,0.19%,57.13%,34.92%,5.63%,1.42%,0.90%,55.29%,36.52%,6.11%,1.17%,0.90%,56.85%,39.24%,1.81%,1.18%,0.91%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000036,63.8,46.68%,43.41%,4.83%,2.45%,2.63%,48.13%,41.18%,8.68%,1.61%,0.40%,41.57%,49.52%,5.30%,2.61%,0.99%,42.98%,48.56%,6.46%,1.61%,0.40%,51.16%,39.12%,8.09%,0.89%,0.74%,47.95%,41.36%,9.36%,0.58%,0.74%,51.56%,44.90%,2.22%,0.58%,0.74%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000037,47.4,40.30%,54.85%,3.66%,0.00%,1.20%,42.52%,50.15%,6.31%,0.63%,0.39%,37.52%,57.04%,4.24%,0.45%,0.74%,38.99%,55.83%,4.16%,0.63%,0.39%,43.97%,46.39%,9.06%,0.58%,0.00%,40.15%,53.55%,5.91%,0.00%,0.39%,44.37%,54.30%,1.33%,0.00%,0.00%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000038,67.5,37.98%,49.70%,6.70%,2.89%,2.73%,39.86%,47.75%,10.02%,1.73%,0.64%,34.57%,55.19%,6.08%,3.07%,1.10%,35.69%,54.18%,7.72%,1.75%,0.65%,43.78%,45.35%,8.95%,0.98%,0.95%,40.98%,49.65%,7.97%,0.45%,0.95%,44.05%,52.72%,1.80%,0.46%,0.96%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000039,41.9,45.08%,37.74%,10.93%,3.26%,2.98%,47.11%,41.26%,8.08%,2.90%,0.65%,43.14%,44.92%,7.26%,3.37%,1.31%,44.18%,44.60%,7.63%,2.92%,0.66%,56.14%,34.72%,6.57%,1.29%,1.28%,53.00%,38.09%,6.59%,1.03%,1.28%,56.57%,38.89%,2.21%,1.04%,1.29%,Barking and Dagenham,Barking and Dagenham,London,EPN
E01000040,82.5,48.31%,23.43%,17.93%,6.93%,3.40%,49.32%,36.72%,9.72%,4.02%,0.22%,46.14%,38.11%,8.96%,6.27%,0.51%,46.50%,39.71%,9.49%,4.08%,0.22%,66.41%,24.99%,5.21%,1.37%,2.02%,63.69%,26.94%,6.12%,1.23%,2.02%,66.42%,27.73%,2.56%,1.24%,2.04%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000041,72.4,59.20%,37.02%,2.96%,0.00%,0.82%,60.04%,34.85%,4.29%,0.55%,0.27%,54.20%,41.67%,3.31%,0.00%,0.82%,55.63%,40.36%,3.18%,0.55%,0.27%,61.92%,32.55%,5.29%,0.25%,0.00%,58.90%,36.46%,4.64%,0.00%,0.00%,61.98%,37.52%,0.50%,0.00%,0.00%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000042,89.1,44.71%,18.52%,19.34%,8.54%,8.89%,46.31%,32.91%,11.97%,7.40%,1.41%,44.65%,32.72%,9.79%,9.23%,3.61%,44.04%,34.91%,12.05%,7.56%,1.45%,65.65%,23.37%,6.55%,2.06%,2.37%,63.20%,25.51%,6.86%,2.05%,2.38%,65.31%,24.93%,5.59%,1.75%,2.43%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000043,107.2,38.31%,41.32%,8.79%,6.63%,4.96%,40.45%,40.80%,12.71%,4.91%,1.13%,34.19%,49.27%,9.38%,4.51%,2.65%,35.54%,48.19%,10.17%,4.96%,1.14%,47.00%,39.32%,10.12%,2.23%,1.33%,44.22%,43.65%,8.75%,2.04%,1.33%,47.62%,46.20%,3.19%,1.65%,1.34%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000044,121.3,51.45%,34.21%,7.95%,2.83%,3.56%,53.11%,35.69%,7.00%,2.37%,1.84%,47.81%,41.87%,5.15%,2.79%,2.37%,48.82%,41.05%,5.89%,2.39%,1.85%,58.18%,33.43%,6.09%,1.24%,1.07%,56.05%,35.12%,6.96%,0.80%,1.07%,58.98%,36.34%,2.79%,0.81%,1.08%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000045,77.6,54.89%,24.26%,10.28%,5.60%,4.97%,56.60%,28.49%,10.24%,4.03%,0.65%,54.36%,29.62%,7.98%,6.97%,1.07%,55.57%,29.97%,9.74%,4.07%,0.65%,68.25%,22.82%,5.86%,0.71%,2.35%,63.17%,27.88%,5.89%,0.71%,2.35%,65.59%,27.95%,3.58%,0.51%,2.37%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000046,83.6,52.01%,37.81%,6.73%,1.11%,2.34%,53.74%,37.70%,6.68%,1.31%,0.57%,48.78%,43.16%,5.53%,1.58%,0.95%,50.46%,41.71%,5.95%,1.31%,0.58%,59.19%,34.04%,5.86%,0.36%,0.54%,56.63%,36.92%,5.43%,0.48%,0.54%,60.58%,37.44%,1.30%,0.14%,0.54%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000048,55.0,37.53%,13.13%,17.23%,26.47%,5.64%,38.53%,27.58%,29.19%,4.26%,0.44%,37.61%,27.07%,28.35%,5.41%,1.56%,36.65%,28.67%,29.88%,4.35%,0.45%,63.95%,30.08%,4.30%,0.83%,0.85%,53.80%,39.97%,4.62%,0.75%,0.85%,63.21%,31.86%,3.30%,0.77%,0.86%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000049,98.3,30.03%,17.78%,28.01%,17.73%,6.45%,31.06%,41.52%,21.94%,4.95%,0.54%,29.25%,41.80%,20.01%,7.50%,1.45%,28.57%,43.55%,22.29%,5.04%,0.55%,60.65%,32.05%,4.37%,1.21%,1.73%,56.27%,35.88%,4.85%,1.06%,1.93%,60.06%,34.21%,2.88%,1.08%,1.76%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000050,99.1,46.92%,27.86%,17.66%,4.32%,3.24%,47.26%,42.49%,7.11%,2.90%,0.25%,42.34%,43.74%,9.27%,3.62%,1.02%,42.49%,47.19%,7.15%,2.92%,0.25%,67.53%,27.12%,3.43%,0.97%,0.95%,64.22%,30.13%,3.92%,0.78%,0.95%,66.79%,29.93%,1.54%,0.79%,0.96%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000051,41.5,35.03%,11.92%,19.28%,24.69%,9.07%,36.73%,26.35%,30.40%,5.00%,1.52%,35.70%,26.55%,27.85%,6.63%,3.28%,34.96%,27.37%,31.05%,5.08%,1.54%,57.46%,35.42%,4.92%,1.05%,1.16%,52.48%,40.04%,4.93%,1.14%,1.40%,56.73%,37.11%,4.07%,0.91%,1.18%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000052,118.7,76.60%,9.94%,12.54%,0.45%,0.47%,76.46%,17.44%,5.41%,0.39%,0.29%,73.94%,20.03%,5.32%,0.47%,0.23%,48.06%,39.90%,10.64%,0.92%,0.48%,90.20%,8.25%,1.44%,0.11%,0.00%,78.79%,19.07%,2.15%,0.00%,0.00%,80.76%,18.81%,0.43%,0.00%,0.00%,Barking and Dagenham,Barking and Dagenham,London,LPN
E01000053,53.6,34.90%,19.06%,31.32%,7.28%,7.44%,35.40%,46.91%,12.44%,4.05%,1.19%,34.13%,43.55%,11.83%,8.86%,1.64%,33.45%,48.52%,12.69%,4.13%,1.21%,69.53%,22.36%,5.14%,0.90%,2.08%,67.75%,23.92%,5.15%,1.10%,2.08%,68.14%,25.69%,3.27%,0.77%,2.12%,Barking and Dagenham,Barking and Dagenham,London,EPN
